website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://crossfitoneworld.com/,https://profilepicsbucket.crossfit.com/85078-A841_2-184.jpg,1,252,37.5955063,-122.0327433,Union City,crossfit,2,94587,US,0,2006-08-10T07:00:00Z,0,33415 Western Ave,1,CA,1,0,CrossFit One World,United States,Commercial,841,California
http://www.crossfitnewcastle.com.au,https://profilepicsbucket.crossfit.com/5776d-A835_4-184.jpg,1,259,-32.912115,151.73114,Newcastle,crossfit,4,2298,AU,0,2006-09-01T07:00:00Z,0,1 Stephen St Georgetown,1,NSW,1,0,CrossFit Newcastle,Australia,Commercial,835,New South Wales
http://www.crossfitwhistler.com/,https://profilepicsbucket.crossfit.com/52f96-A891_6-184.jpg,1,257,50.0889953,-123.0379002,Whistler,crossfit,6,V0N 1B1,CA,0,2006-09-05T07:00:00Z,0,1-1345 Alpha Lake Road,1,BC,1,0,CrossFit Whistler,Canada,Commercial,891,British Columbia
http://crossfitmanchester.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,272,53.4137157,-2.1346772,Stockport,crossfit,0,SK6 2BP,GB,0,2006-10-03T07:00:00Z,0,Pear Mill Industrial Estate, Stockport Road West, Lower Bredbury,1,,1,0,CrossFit Manchester,United Kingdom,Commercial,984,
http://www.saintcitycrossfit.com/,https://profilepicsbucket.crossfit.com/24119-A980_1-184.jpg,1,264,53.649735,-113.5710286,St. Albert,n3p,1,T8N 0R8,CA,0,2006-10-15T07:00:00Z,0,190 Carleton Drive #103,1,AB,1,0,N3P CrossFit,Canada,Commercial,980,Alberta
http://www.crossfitbrisbane.com,https://profilepicsbucket.crossfit.com/1500f-A933_2-184.jpg,1,261,-27.4899627,153.0535806,Coorparoo,crossfit,2,4151,AU,0,2006-10-19T07:00:00Z,0,47 Clarence St,1,QLD,1,1,CrossFit Brisbane,Australia,Commercial,933,Queensland
http://www.crossfitrochester.com/,https://profilepicsbucket.crossfit.com/7247b-A940_2-184.jpg,1,271,43.0971406,-77.5253383,Pittsford,crossfit,2,14534,US,0,2006-10-20T07:00:00Z,0,3750 Monroe Ave,1,NY,1,1,CrossFit Rochester,United States,Commercial,940,New York
http://www.crossfitie.typepad.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,262,33.988677,-117.5583697,Eastvale,crossfit,0,91752,US,0,2006-10-29T07:00:00Z,0,5379 Hamner Avenue, # 802,1,CA,1,1,CrossFit Eastvale,United States,Commercial,938,California
http://www.primal-fitness.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,263,38.905789,-77.014377,Washington,primal,0,20001,US,0,2006-11-01T08:00:00Z,0,219 M Street NW,1,DC,1,0,Primal Fitness,United States,Commercial,988,District Of Columbia
http://www.mikesgym.org/,https://profilepicsbucket.crossfit.com/pukie.png,1,190,33.294097,-117.188636,Bonsall,crossfit,0,92003,US,0,2006-11-13T08:00:00Z,0,32067 Via Vera,1,CA,1,0,CrossFit Mikes Gym,United States,Commercial,832,California
http://Www.crossfitnika.com,https://profilepicsbucket.crossfit.com/435ac-A8040_2-184.jpg,1,6379,29.028601,-81.318771,DeLand,crossfit,2,32720,US,0,2006-11-13T08:00:00Z,0,811 West New York ave,1,FL,1,1,CrossFit Nika,United States,Commercial,8040,Florida
http://crossfitmn.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,277,44.8681836,-93.3596589,Edina,crossfit,0,55439,US,0,2006-11-15T08:00:00Z,0,7399 Bush Lake Road,1,MN,1,0,CrossFit Edina,United States,Commercial,932,Minnesota
http://www.crossfitthousandoaks.com/,https://profilepicsbucket.crossfit.com/5afc2-A937_3-184.jpg,1,273,34.1794838,-118.8642851,Thousand Oaks,crossfit,3,91360,US,0,2006-11-15T08:00:00Z,0,763 E. Thousand Oaks Blvd.,1,CA,1,0,CrossFit Thousand Oaks,United States,Commercial,937,California
http://www.roguecolumbus.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,265,39.985313,-82.990293,Columbus,crossfit,0,43201,US,0,2006-11-15T08:00:00Z,0,545 East 5th Ave.,1,OH,1,0,CrossFit Columbus,United States,Commercial,939,Ohio
http://www.crossfitmarin.com/,https://profilepicsbucket.crossfit.com/f0206-A942_3-184.jpg,1,285,37.9358948,-122.5205029,Corte Madera,crossfit,3,94925,US,0,2006-11-15T08:00:00Z,0,412 Tamal Plaza,1,CA,1,1,CrossFit Marin,United States,Commercial,942,California
http://www.crossfitcharlotte.com/,https://profilepicsbucket.crossfit.com/a8462-A931_8-184.jpg,1,284,35.1449489,-80.737201,Charlotte,crossfit,8,28270,US,0,2006-12-01T08:00:00Z,0,9535 Monroe Road, Suite 100,1,NC,1,1,CrossFit Charlotte,United States,Commercial,931,North Carolina
http://www.crossfithouston.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,275,29.734159,-95.331604,Houston,crossfit,0,77023,US,0,2006-12-15T08:00:00Z,0,716 Telephone Rd.,1,TX,1,0,CrossFit Houston,United States,Commercial,976,Texas
http://www.indycrossfit.com/,https://profilepicsbucket.crossfit.com/f4f17-A977_2-184.jpg,1,276,39.7674374,-86.0728923,Indianapolis,indy,2,46219,US,0,2006-12-15T08:00:00Z,0,211 S Ritter Ave Suite G,1,IN,1,0,Indy CrossFit,United States,Commercial,977,Indiana
http://www.crossfitflathead.com/,https://profilepicsbucket.crossfit.com/4e351-A981_8-184.jpg,1,281,48.177356,-114.309947,Kalispell,crossfit,8,59901,US,0,2007-02-07T08:00:00Z,0,1896 Airport Road,1,MT,1,0,CrossFit Flathead,United States,Commercial,981,Montana
http://crossfitdover.com/,https://profilepicsbucket.crossfit.com/97451-A982_2-184.jpg,1,270,39.1533598,-75.5500921,Dover,crossfit,2,19904,US,0,2007-02-07T08:00:00Z,0,155-L Commerce Way,1,DE,1,1,CrossFit Dover,United States,Commercial,982,Delaware
